"kingdom","phylum","class","order","family","genus","species","A","B","C"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Defluviitalea","saccharophila",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","salivarius",0,0,0
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum","schaedleri",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sobrinus",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Phytophthora","sojae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Proteocatella","sphenisci",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","spiroforme",-2.70950030675198,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","stercorea",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","stercoris",1.95996398454005,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","subflava",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","symbiosum",-2.70950030675198,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Nicotiana","tabacum",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter","termitidis",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","thomasii",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","torques",1.95996398454005,0,0
"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","'Solanum","tuberosum' phytoplasma",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olsenella","uli",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","02d06","unclassified 02d06",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","1-68","unclassified 1-68",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","unclassified Abiotrophia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus","unclassified Acidaminococcus",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified Acinetobacter",-1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","unclassified Actinomyces",-1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified Actinomycetaceae","unclassified Actinomycetaceae",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia","unclassified Adlercreutzia",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","unclassified Aerococcus",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","unclassified Aeromonadaceae","unclassified Aeromonadaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","unclassified Aggregatibacter",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","unclassified Alicycliphilus",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","unclassified Allobaculum",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Anaerococcus","unclassified Anaerococcus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum","unclassified Anaerofilum",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis","unclassified Anaerofustis",0,0,0
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","unclassified Anaeroplasma",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","unclassified Anaerostipes",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified Anaerotruncus",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium","unclassified Atopobium",1.95996398454005,0,0
"Bacteria","Lentisphaerae","unclassified Lentisphaerae","unclassified Bacteria","unclassified Bacteria","unclassified Bacteria","unclassified Bacteria",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified Bacteroides",-1.6843963790233,-3.34252852528512,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","unclassified Barnesiellaceae","unclassified Barnesiellaceae",-2.96773792534179,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","unclassified Bilophila",0,-1.95996398454005,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified Blautia",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium","unclassified Brachybacterium",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","unclassified Butyricimonas",-1.96859166918659,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","unclassified Butyrivibrio",1.95996398454005,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified Campylobacter",0,0,0
"Bacteria","Cyanobacteria","Candidatus Melainabacteria","Candidatus Gastranaerophilales","Candidatus Gastranaerophilaceae","unclassified Candidatus Gastranaerophilaceae","unclassified Candidatus Gastranaerophilaceae",0,0,0
"Bacteria","Tenericutes","Mollicutes","Candidatus Izemoplasmatales","Candidatus Izemoplasmataceae","unclassified Candidatus Izemoplasma","unclassified Candidatus Izemoplasma",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","unclassified Catenibacterium",0,0,0
"Bacteria","Verrucomicrobia","Opitutae","Cerasicoccales","Cerasicoccaceae","unclassified Cerasicoccaceae","unclassified Cerasicoccaceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","unclassified Christensenella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified Christensenellaceae","unclassified Christensenellaceae",0,0,0
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","unclassified Cloacibacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified Clostridiaceae","unclassified Clostridiaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified Clostridium",-2.70950030675198,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","unclassified Collinsella",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","unclassified Coprobacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified Coprococcus",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified Coriobacteriaceae","unclassified Coriobacteriaceae",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacterium","unclassified Coriobacterium",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","unclassified Corynebacterium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","unclassified Dehalobacteriaceae","unclassified Dehalobacteriaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","Dehalobacterium","unclassified Dehalobacterium",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","unclassified Delftia",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","unclassified Desulfovibrio",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","unclassified Desulfovibrionaceae","unclassified Desulfovibrionaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfurispora","unclassified Desulfurispora",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","unclassified Dialister",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified Dorea",1.56435806527895,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas","unclassified Dysgonomonas",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella","unclassified Eikenella",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","unclassified Enhydrobacter",-1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","unclassified Enterococcaceae","unclassified Enterococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium","unclassified Epulopiscium",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","unclassified Erysipelotrichaceae","unclassified Erysipelotrichaceae",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Eubacterium","unclassified Eubacterium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","unclassified Faecalibacterium",1.95996398454005,1.95996398454005,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Finegoldia","unclassified Finegoldia",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","unclassified Fusobacteriaceae","unclassified Fusobacteriaceae",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","unclassified Fusobacterium",-1.95996398454005,0,0
